product_type,sku,price,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,profit,stockout_risk,inventory_turnover
haircare,SKU0,69.80800554211577,802,8661.996792392383,Non-binary,58,7,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,8474.244716933179,False,13.827586206896552
skincare,SKU1,14.84352327508434,736,7460.900065445849,Female,53,30,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,6957.834486296179,False,13.88679245283019
haircare,SKU2,11.319683293090566,8,9577.74962586873,Unknown,1,10,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,9435.82934409721,False,8.0
skincare,SKU3,61.163343016437736,83,7766.836425685233,Non-binary,23,13,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,7512.060266465946,False,3.608695652173913
skincare,SKU4,4.805496036345893,871,2686.505151567447,Non-binary,5,3,8,Carrier A,3.890547915870672,Supplier 1,Delhi,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,1763.0645198555246,True,174.2
haircare,SKU5,1.6999760138659377,147,2828.348745975759,Non-binary,90,27,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,2592.8875092402213,False,1.6333333333333333
skincare,SKU6,4.078332863107945,65,7823.476559531737,Male,11,15,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,7689.107462670705,False,5.909090909090909
cosmetics,SKU7,42.95838438246007,426,8496.103813089838,Female,93,17,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,7694.047501272279,False,4.580645161290323
cosmetics,SKU8,68.71759674852733,150,7517.363210631127,Female,5,10,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,7011.806076405663,False,30.0
skincare,SKU9,64.01573294127854,980,4971.145987585558,Unknown,14,27,1,Carrier A,7.166645291048216,Supplier 2,Chennai,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,3975.2165260869165,True,70.0
skincare,SKU10,15.707795681912138,996,2330.965802091949,Non-binary,51,13,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,1524.8626243890262,False,19.529411764705884
skincare,SKU11,90.63545998228868,960,6099.944115581452,Female,46,23,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,5973.221082172045,False,20.869565217391305
haircare,SKU12,71.21338907536008,336,2873.7414460214413,Unknown,100,30,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,2470.772656947671,False,3.36
skincare,SKU13,16.160393317379977,249,4052.738416237866,Male,80,8,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,3505.4974110768976,False,3.1125
skincare,SKU14,99.1713286386242,562,8653.570926469802,Non-binary,54,29,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,7724.335636508912,False,10.407407407407407
skincare,SKU15,36.98924492862691,469,5442.086785397673,Non-binary,9,8,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,5314.2249853960475,True,52.111111111111114
